Posição,País,Medalhas de Ouro,Medalhas de Prata,Medalhas de Bronze,Total de Medalhas
84º,Arábia Saudita ARS,1.0,0.0,0.0,1.0
85º,Bulgária BUL,1.0,0.0,0.0,1.0
86º,Peru PER,1.0,0.0,0.0,1.0
87º,Afeganistão AFE,0.0,0.0,0.0,0.0
88º,Angola ANG,0.0,0.0,0.0,0.0
89º,Armênia ARM,0.0,0.0,0.0,0.0
90º,Aruba ARU,0.0,0.0,0.0,0.0
91º,Bahrein BRN,0.0,0.0,0.0,0.0
92º,Bangladesh BAN,0.0,0.0,0.0,0.0
93º,Barbados BAR,0.0,0.0,0.0,0.0
94º,Benin BEN,0.0,0.0,0.0,0.0
95º,Bermudas BER,0.0,0.0,0.0,0.0
96º,Botsuana BOT,0.0,0.0,0.0,0.0
97º,Burkina Faso BFA,0.0,0.0,0.0,0.0
98º,Burundi BUR,0.0,0.0,0.0,0.0
99º,Butão BUT,0.0,0.0,0.0,0.0
100º,Cabo Verde CBV,0.0,0.0,0.0,0.0
101º,Camarões CAM,0.0,0.0,0.0,0.0
102º,Camboja CBJ,0.0,0.0,0.0,0.0
103º,Congo CON,0.0,0.0,0.0,0.0
104º,Costa do Marfim CMA,0.0,0.0,0.0,0.0
105º,El Salvador ESA,0.0,0.0,0.0,0.0
106º,Emirados Árabes Unidos EAU,0.0,0.0,0.0,0.0
107º,Eritreia ERI,0.0,0.0,0.0,0.0
108º,Estônia EST,0.0,0.0,0.0,0.0
109º,Fiji FIJ,0.0,0.0,0.0,0.0
110º,Filipinas FIL,0.0,0.0,0.0,0.0
111º,Gabão GAB,0.0,0.0,0.0,0.0
112º,Gâmbia GAM,0.0,0.0,0.0,0.0
113º,Gana GAN,0.0,0.0,0.0,0.0
114º,Granada GRA,0.0,0.0,0.0,0.0
115º,Guatemala GUA,0.0,0.0,0.0,0.0
116º,Guiné GUI,0.0,0.0,0.0,0.0
117º,Guiné-Bissau GUB,0.0,0.0,0.0,0.0
118º,Haiti HAI,0.0,0.0,0.0,0.0
119º,Honduras HON,0.0,0.0,0.0,0.0
120º,Iêmen IEM,0.0,0.0,0.0,0.0
121º,Ilhas Salomão ISA,0.0,0.0,0.0,0.0
122º,Ilhas Virgens Norte-Americanas IVI,0.0,0.0,0.0,0.0
123º,Islândia ISL,0.0,0.0,0.0,0.0
124º,Jamaica JAM,0.0,0.0,0.0,0.0
125º,Kiribati KIR,0.0,0.0,0.0,0.0
126º,Kosovo KOS,0.0,0.0,0.0,0.0
127º,Laos LAO,0.0,0.0,0.0,0.0
128º,Lesoto LES,0.0,0.0,0.0,0.0
129º,Líbano LIB,0.0,0.0,0.0,0.0
130º,Libéria LBR,0.0,0.0,0.0,0.0
131º,Líbia LBA,0.0,0.0,0.0,0.0
132º,Macau MAC,0.0,0.0,0.0,0.0
133º,Macedônia MAC,0.0,0.0,0.0,0.0
134º,Malauí MLU,0.0,0.0,0.0,0.0
135º,Maldivas MLD,0.0,0.0,0.0,0.0
136º,Mali MLI,0.0,0.0,0.0,0.0
137º,Malta MLT,0.0,0.0,0.0,0.0
138º,Mianmar MIA,0.0,0.0,0.0,0.0
139º,Moçambique MOC,0.0,0.0,0.0,0.0
140º,Nicarágua NIC,0.0,0.0,0.0,0.0
141º,Níger NIG,0.0,0.0,0.0,0.0
142º,Omã OMA,0.0,0.0,0.0,0.0
143º,Palestina PAL,0.0,0.0,0.0,0.0
144º,Panamá PAN,0.0,0.0,0.0,0.0
145º,Papua-Nova Guiné PNG,0.0,0.0,0.0,0.0
146º,Paraguai PAR,0.0,0.0,0.0,0.0
147º,Porto Rico PRC,0.0,0.0,0.0,0.0
148º,Qatar QAT,0.0,0.0,0.0,0.0
149º,Quirguistão QUI,0.0,0.0,0.0,0.0
150º,RD Congo COG,0.0,0.0,0.0,0.0
151º,República Centro-Africana RCA,0.0,0.0,0.0,0.0
152º,República Dominicana DOM,0.0,0.0,0.0,0.0
153º,Ruanda RUA,0.0,0.0,0.0,0.0
154º,São Tomé e Príncipe STP,0.0,0.0,0.0,0.0
155º,São Vicente e Granadinas SVI,0.0,0.0,0.0,0.0
156º,Senegal SEN,0.0,0.0,0.0,0.0
157º,Serra Leoa SLE,0.0,0.0,0.0,0.0
158º,Síria SIR,0.0,0.0,0.0,0.0
159º,Somália SOM,0.0,0.0,0.0,0.0
160º,Suriname SUR,0.0,0.0,0.0,0.0
161º,Tanzânia TAN,0.0,0.0,0.0,0.0
162º,Timor-Leste TIM,0.0,0.0,0.0,0.0
163º,Togo TOG,0.0,0.0,0.0,0.0
164º,Tonga TGA,0.0,0.0,0.0,0.0
165º,Turcomenistão TCM,0.0,0.0,0.0,0.0
166º,Uganda UGA,0.0,0.0,0.0,0.0
167º,Uruguai URU,0.0,0.0,0.0,0.0
168º,Vanuatu VAN,0.0,0.0,0.0,0.0
169º,Zâmbia ZAM,0.0,0.0,0.0,0.0
170º,Zimbábue ZIM,0.0,0.0,0.0,0.0
1º,China CHN,94.0,76.0,50.0,220.0
2º,Grã-Bretanha GBR,49.0,44.0,31.0,124.0
3º,Estados Unidos EUA,36.0,42.0,27.0,105.0
4º,Brasil BRA,25.0,26.0,38.0,89.0
5º,Ucrânia UCR,22.0,28.0,32.0,82.0
6º,França FRA,19.0,28.0,28.0,75.0
7º,Itália ITA,24.0,15.0,32.0,71.0
8º,Atletas Paralímpicos Neutros IPA,26.0,22.0,23.0,71.0
9º,Austrália AUS,18.0,17.0,28.0,63.0
10º,Holanda HOL,27.0,17.0,12.0,56.0
11º,Alemanha ALE,10.0,14.0,25.0,49.0
12º,Japão JAP,14.0,10.0,17.0,41.0
13º,Espanha ESP,7.0,11.0,22.0,40.0
14º,Coreia do Sul CDS,6.0,10.0,14.0,30.0
15º,Tailândia TAI,6.0,11.0,13.0,30.0
16º,Índia IND,7.0,9.0,13.0,29.0
17º,Canadá CAN,10.0,9.0,10.0,29.0
18º,Colômbia COL,7.0,7.0,14.0,28.0
19º,Turquia TUR,6.0,10.0,12.0,28.0
20º,Uzbequistão UZB,10.0,9.0,7.0,26.0
21º,Irã IRA,8.0,10.0,7.0,25.0
22º,Polônia POL,8.0,6.0,9.0,23.0
23º,Suíça SUI,8.0,8.0,5.0,21.0
24º,México MEX,3.0,6.0,8.0,17.0
25º,Marrocos MAR,3.0,6.0,6.0,15.0
26º,Hungria HUN,5.0,6.0,4.0,15.0
27º,Indonésia INS,1.0,8.0,5.0,14.0
28º,Bélgica BEL,7.0,4.0,3.0,14.0
29º,Argentina ARG,2.0,3.0,8.0,13.0
30º,Grécia GRE,3.0,3.0,7.0,13.0
31º,Azerbaijão AZE,4.0,2.0,5.0,11.0
32º,Argélia ALG,6.0,0.0,5.0,11.0
33º,Tunísia TUN,5.0,3.0,3.0,11.0
34º,Dinamarca DIN,2.0,3.0,5.0,10.0
35º,Israel ISR,4.0,2.0,4.0,10.0
36º,Cuba CUB,6.0,3.0,1.0,10.0
37º,Geórgia GEO,1.0,4.0,4.0,9.0
38º,Nova Zelândia NZL,1.0,4.0,4.0,9.0
39º,Cazaquistão CAZ,2.0,3.0,4.0,9.0
40º,República Tcheca TCH,1.0,4.0,3.0,8.0
41º,Hong Kong HKG,3.0,4.0,1.0,8.0
42º,Portugal POR,2.0,1.0,4.0,7.0
43º,Noruega NOR,1.0,3.0,3.0,7.0
44º,Egito EGI,2.0,2.0,3.0,7.0
45º,Nigéria NGR,2.0,3.0,2.0,7.0
46º,Chile CHI,1.0,0.0,5.0,6.0
47º,África do Sul AFS,2.0,0.0,4.0,6.0
48º,Irlanda IRL,1.0,3.0,2.0,6.0
49º,Sérvia SER,1.0,3.0,2.0,6.0
50º,Venezuela VEN,3.0,2.0,1.0,6.0
51º,Iraque IRQ,1.0,1.0,3.0,5.0
52º,Taiwan TAW,0.0,3.0,2.0,5.0
53º,Malásia MAL,2.0,2.0,1.0,5.0
54º,Eslováquia ESV,3.0,2.0,0.0,5.0
55º,Finlândia FIN,0.0,1.0,3.0,4.0
56º,Croácia CRO,1.0,1.0,2.0,4.0
57º,Equador EQU,2.0,0.0,2.0,4.0
58º,Áustria AUT,0.0,3.0,1.0,4.0
59º,Mongólia MOG,1.0,3.0,0.0,4.0
60º,Letônia LET,3.0,1.0,0.0,4.0
61º,Suécia SUE,0.0,1.0,2.0,3.0
62º,Jordânia JOR,2.0,0.0,1.0,3.0
63º,Cingapura CIN,2.0,1.0,0.0,3.0
64º,Etiópia ETI,2.0,1.0,0.0,3.0
65º,Atletas Paraolímpicos Refugiados APR,0.0,0.0,2.0,2.0
66º,Chipre CHP,0.0,1.0,1.0,2.0
67º,Moldávia MOL,0.0,1.0,1.0,2.0
68º,Eslovênia ESL,1.0,0.0,1.0,2.0
69º,Kuwait KUA,1.0,0.0,1.0,2.0
70º,Namíbia NAM,1.0,0.0,1.0,2.0
71º,Romênia ROM,1.0,0.0,1.0,2.0
72º,Bósnia e Herzegovina BOS,0.0,2.0,0.0,2.0
73º,Costa Rica COS,2.0,0.0,0.0,2.0
74º,Lituânia LIT,0.0,0.0,1.0,1.0
75º,Luxemburgo LUX,0.0,0.0,1.0,1.0
76º,Maurício MRI,0.0,0.0,1.0,1.0
77º,Montenegro MNE,0.0,0.0,1.0,1.0
78º,Nepal NEP,0.0,0.0,1.0,1.0
79º,Paquistão PAQ,0.0,0.0,1.0,1.0
80º,Vietnã VIE,0.0,0.0,1.0,1.0
81º,Quênia QUE,0.0,1.0,0.0,1.0
82º,Sri Lanka SRI,0.0,1.0,0.0,1.0
83º,Trinidad e Tobago TRI,0.0,1.0,0.0,1.0
84º,Arábia Saudita ARS,1.0,0.0,0.0,1.0
85º,Bulgária BUL,1.0,0.0,0.0,1.0
86º,Peru PER,1.0,0.0,0.0,1.0
87º,Afeganistão AFE,0.0,0.0,0.0,0.0
88º,Angola ANG,0.0,0.0,0.0,0.0
89º,Armênia ARM,0.0,0.0,0.0,0.0
90º,Aruba ARU,0.0,0.0,0.0,0.0
91º,Bahrein BRN,0.0,0.0,0.0,0.0
92º,Bangladesh BAN,0.0,0.0,0.0,0.0
93º,Barbados BAR,0.0,0.0,0.0,0.0
94º,Benin BEN,0.0,0.0,0.0,0.0
95º,Bermudas BER,0.0,0.0,0.0,0.0
96º,Botsuana BOT,0.0,0.0,0.0,0.0
97º,Burkina Faso BFA,0.0,0.0,0.0,0.0
98º,Burundi BUR,0.0,0.0,0.0,0.0
99º,Butão BUT,0.0,0.0,0.0,0.0
100º,Cabo Verde CBV,0.0,0.0,0.0,0.0
101º,Camarões CAM,0.0,0.0,0.0,0.0
102º,Camboja CBJ,0.0,0.0,0.0,0.0
103º,Congo CON,0.0,0.0,0.0,0.0
104º,Costa do Marfim CMA,0.0,0.0,0.0,0.0
105º,El Salvador ESA,0.0,0.0,0.0,0.0
106º,Emirados Árabes Unidos EAU,0.0,0.0,0.0,0.0
107º,Eritreia ERI,0.0,0.0,0.0,0.0
108º,Estônia EST,0.0,0.0,0.0,0.0
109º,Fiji FIJ,0.0,0.0,0.0,0.0
110º,Filipinas FIL,0.0,0.0,0.0,0.0
111º,Gabão GAB,0.0,0.0,0.0,0.0
112º,Gâmbia GAM,0.0,0.0,0.0,0.0
113º,Gana GAN,0.0,0.0,0.0,0.0
114º,Granada GRA,0.0,0.0,0.0,0.0
115º,Guatemala GUA,0.0,0.0,0.0,0.0
116º,Guiné GUI,0.0,0.0,0.0,0.0
117º,Guiné-Bissau GUB,0.0,0.0,0.0,0.0
118º,Haiti HAI,0.0,0.0,0.0,0.0
119º,Honduras HON,0.0,0.0,0.0,0.0
120º,Iêmen IEM,0.0,0.0,0.0,0.0
121º,Ilhas Salomão ISA,0.0,0.0,0.0,0.0
122º,Ilhas Virgens Norte-Americanas IVI,0.0,0.0,0.0,0.0
123º,Islândia ISL,0.0,0.0,0.0,0.0
124º,Jamaica JAM,0.0,0.0,0.0,0.0
125º,Kiribati KIR,0.0,0.0,0.0,0.0
126º,Kosovo KOS,0.0,0.0,0.0,0.0
127º,Laos LAO,0.0,0.0,0.0,0.0
128º,Lesoto LES,0.0,0.0,0.0,0.0
129º,Líbano LIB,0.0,0.0,0.0,0.0
130º,Libéria LBR,0.0,0.0,0.0,0.0
131º,Líbia LBA,0.0,0.0,0.0,0.0
132º,Macau MAC,0.0,0.0,0.0,0.0
133º,Macedônia MAC,0.0,0.0,0.0,0.0
134º,Malauí MLU,0.0,0.0,0.0,0.0
135º,Maldivas MLD,0.0,0.0,0.0,0.0
136º,Mali MLI,0.0,0.0,0.0,0.0
137º,Malta MLT,0.0,0.0,0.0,0.0
138º,Mianmar MIA,0.0,0.0,0.0,0.0
139º,Moçambique MOC,0.0,0.0,0.0,0.0
140º,Nicarágua NIC,0.0,0.0,0.0,0.0
141º,Níger NIG,0.0,0.0,0.0,0.0
142º,Omã OMA,0.0,0.0,0.0,0.0
143º,Palestina PAL,0.0,0.0,0.0,0.0
144º,Panamá PAN,0.0,0.0,0.0,0.0
145º,Papua-Nova Guiné PNG,0.0,0.0,0.0,0.0
146º,Paraguai PAR,0.0,0.0,0.0,0.0
147º,Porto Rico PRC,0.0,0.0,0.0,0.0
148º,Qatar QAT,0.0,0.0,0.0,0.0
149º,Quirguistão QUI,0.0,0.0,0.0,0.0
150º,RD Congo COG,0.0,0.0,0.0,0.0
151º,República Centro-Africana RCA,0.0,0.0,0.0,0.0
152º,República Dominicana DOM,0.0,0.0,0.0,0.0
153º,Ruanda RUA,0.0,0.0,0.0,0.0
154º,São Tomé e Príncipe STP,0.0,0.0,0.0,0.0
155º,São Vicente e Granadinas SVI,0.0,0.0,0.0,0.0
156º,Senegal SEN,0.0,0.0,0.0,0.0
157º,Serra Leoa SLE,0.0,0.0,0.0,0.0
158º,Síria SIR,0.0,0.0,0.0,0.0
159º,Somália SOM,0.0,0.0,0.0,0.0
160º,Suriname SUR,0.0,0.0,0.0,0.0
161º,Tanzânia TAN,0.0,0.0,0.0,0.0
162º,Timor-Leste TIM,0.0,0.0,0.0,0.0
163º,Togo TOG,0.0,0.0,0.0,0.0
164º,Tonga TGA,0.0,0.0,0.0,0.0
165º,Turcomenistão TCM,0.0,0.0,0.0,0.0
166º,Uganda UGA,0.0,0.0,0.0,0.0
167º,Uruguai URU,0.0,0.0,0.0,0.0
168º,Vanuatu VAN,0.0,0.0,0.0,0.0
169º,Zâmbia ZAM,0.0,0.0,0.0,0.0
170º,Zimbábue ZIM,0.0,0.0,0.0,0.0
